psgc10,name,province,region,mayor_votes_2016,mayor_votes_2019,mayor_votes_2022,mayor_votes_2025
1380100000,City of Caloocan,National Capital Region (NCR),National Capital Region (NCR),483199.0,444812.0,561019.0,585835.0
1380200000,City of Las Piñas,National Capital Region (NCR),National Capital Region (NCR),201958.0,194707.0,226796.0,242658.0
1380300000,City of Makati,National Capital Region (NCR),National Capital Region (NCR),304400.0,308103.0,355459.0,204086.0
1380400000,City of Malabon,National Capital Region (NCR),National Capital Region (NCR),144977.0,156951.0,188373.0,186467.0
1380500000,City of Mandaluyong,National Capital Region (NCR),National Capital Region (NCR),144380.0,137250.0,161306.0,143315.0
1380600000,City of Manila,National Capital Region (NCR),National Capital Region (NCR),727411.0,713648.0,845729.0,899353.0
1380700000,City of Marikina,National Capital Region (NCR),National Capital Region (NCR),176633.0,158024.0,224027.0,254234.0
1380800000,City of Muntinlupa,National Capital Region (NCR),National Capital Region (NCR),215302.0,217778.0,243398.0,209498.0
1380900000,City of Navotas,National Capital Region (NCR),National Capital Region (NCR),87485.0,112731.0,126181.0,120283.0
1381000000,City of Parañaque,National Capital Region (NCR),National Capital Region (NCR),193846.0,225080.0,271882.0,265535.0
1381100000,Pasay City,National Capital Region (NCR),National Capital Region (NCR),182631.0,190007.0,208319.0,221038.0
1381200000,City of Pasig,National Capital Region (NCR),National Capital Region (NCR),295940.0,330926.0,381455.0,381587.0
1381300000,Quezon City,National Capital Region (NCR),National Capital Region (NCR),804531.0,867981.0,1096545.0,1078573.0
1381400000,City of San Juan,National Capital Region (NCR),National Capital Region (NCR),56432.0,59873.0,76296.0,66338.0
1381500000,City of Taguig,National Capital Region (NCR),National Capital Region (NCR),224981.0,288352.0,360142.0,520434.0
1381600000,City of Valenzuela,National Capital Region (NCR),National Capital Region (NCR),255782.0,257421.0,350676.0,295876.0
1381701000,Pateros,National Capital Region (NCR),National Capital Region (NCR),26932.0,27145.0,31311.0,29460.0
1400101000,Bangued ,Abra,Cordillera Administrative Region (CAR),24129.0,26906.0,27915.0,31843.0
1400102000,Boliney,Abra,Cordillera Administrative Region (CAR),2074.0,237.0,2333.0,2649.0
1400103000,Bucay,Abra,Cordillera Administrative Region (CAR),5755.0,9575.0,9074.0,13468.0
1400104000,Bucloc,Abra,Cordillera Administrative Region (CAR),1635.0,1597.0,1811.0,1917.0
1400105000,Daguioman,Abra,Cordillera Administrative Region (CAR),1006.0,1145.0,1244.0,1213.0
1400106000,Danglas,Abra,Cordillera Administrative Region (CAR),2393.0,2849.0,3202.0,3305.0
1400107000,Dolores,Abra,Cordillera Administrative Region (CAR),5849.0,6894.0,7468.0,8123.0
1400108000,La Paz,Abra,Cordillera Administrative Region (CAR),8010.0,9198.0,10490.0,11065.0
1400109000,Lacub,Abra,Cordillera Administrative Region (CAR),1666.0,2258.0,2527.0,3375.0
1400110000,Lagangilang,Abra,Cordillera Administrative Region (CAR),7223.0,7413.0,8366.0,9204.0
1400111000,Lagayan,Abra,Cordillera Administrative Region (CAR),2150.0,2450.0,2808.0,3041.0
