psgc10,name,level,city_class,income_class,province,region,pop1960,pop1970,pop1980,pop1990,pop2000,pop2010,pop2015,pop2020,pop2024,net_migration,netmig_rate_per_1000_yr,flag,births_2017,births_2019,births_2020,births_2021,births_2022,births_2023,births_2024,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,deaths_2022,deaths_2023,deaths_2024
1380100000,City of Caloocan,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),145523.0,274453.0,467816.0,763415.0,1177604.0,1489040.0,1583978.0,1661584.0,1712945.0,5543.4,0.79,,26981.0,26745.0,26524.0,21597.0,21373.0,20234.0,18537.0,9055.0,8536.0,9185.0,10176.0,12766.0,9583.0,10111.0,10231.0
1380200000,City of Las Piñas,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),16093.0,45732.0,136514.0,297102.0,472780.0,552573.0,588894.0,606293.0,615549.0,-4003.1,-1.57,,9756.0,9751.0,8743.0,7162.0,7261.0,7337.0,6522.0,3488.0,3512.0,3768.0,4155.0,5104.0,3741.0,3937.0,4089.0
1380300000,City of Makati,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),114540.0,264918.0,372631.0,453170.0,471379.0,529039.0,582602.0,629616.0,,,,EXCLUDED: EMBO barangays transferred to Taguig (2020 base not comparable),7854.0,8014.0,7223.0,5370.0,5398.0,5516.0,3183.0,3109.0,3033.0,3182.0,3544.0,4450.0,3091.0,3046.0,1889.0
1380400000,City of Malabon,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),76438.0,141514.0,191001.0,280027.0,338855.0,353337.0,365525.0,380522.0,389929.0,-248.2,-0.15,,5485.0,6025.0,5787.0,4664.0,5073.0,5072.0,4615.0,2403.0,2414.0,2435.0,2458.0,3225.0,2499.0,2615.0,2691.0
1380500000,City of Mandaluyong,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),71619.0,149407.0,205366.0,248143.0,278474.0,328699.0,386276.0,425758.0,465902.0,30684.2,16.52,,6456.0,6495.0,5773.0,4508.0,4392.0,4572.0,4452.0,2273.0,2162.0,2235.0,2219.0,2886.0,2220.0,2328.0,2355.0
1380600000,City of Manila,City,HUC,Special,National Capital Region (NCR),National Capital Region (NCR),1138611.0,1330788.0,1630485.0,1601234.0,1581082.0,1652171.0,1780148.0,1846513.0,1902590.0,12363.4,1.58,,31064.0,32057.0,27375.0,22454.0,23147.0,23896.0,22313.0,12182.0,12056.0,12425.0,12808.0,15718.0,12052.0,12497.0,12796.0
1380700000,City of Marikina,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),40455.0,113400.0,211613.0,310227.0,391170.0,424150.0,450741.0,456059.0,471323.0,6573.4,3.4,,7383.0,7737.0,7027.0,5653.0,5296.0,5737.0,5584.0,3009.0,3046.0,3355.0,3666.0,4331.0,3238.0,3629.0,3668.0
1380800000,City of Muntinlupa,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),21893.0,65057.0,136679.0,278411.0,379310.0,459941.0,504509.0,543445.0,552225.0,-2228.6,-0.98,,7046.0,8171.0,7093.0,5659.0,5876.0,6045.0,5506.0,2855.0,2964.0,3064.0,3316.0,3871.0,3135.0,3229.0,3223.0
1380900000,City of Navotas,City,HUC,2nd,National Capital Region (NCR),National Capital Region (NCR),49262.0,83245.0,126146.0,187479.0,230403.0,249131.0,249463.0,247543.0,252878.0,-1951.7,-1.87,,4262.0,4292.0,3817.0,3514.0,3564.0,3651.0,3175.0,1642.0,1632.0,1701.0,1563.0,2034.0,1801.0,1773.0,1854.0
1381000000,City of Parañaque,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),61898.0,97214.0,208552.0,308236.0,449811.0,588126.0,665822.0,689992.0,703245.0,-2800.8,-0.96,,10550.0,10942.0,9613.0,7968.0,8080.0,8108.0,7430.0,3621.0,3706.0,3898.0,4324.0,5312.0,3998.0,3993.0,4091.0
1381100000,Pasay City,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),132673.0,206283.0,287770.0,368366.0,354908.0,392869.0,416522.0,440656.0,453186.0,3052.5,1.64,,6280.0,6587.0,5534.0,4505.0,4773.0,5018.0,4869.0,2319.0,2371.0,2460.0,2729.0,3068.0,2418.0,2428.0,2420.0
1381200000,City of Pasig,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),62130.0,156492.0,268570.0,397679.0,505058.0,669773.0,755300.0,803159.0,853050.0,25692.8,7.45,,13552.0,14297.0,13160.0,10412.0,10369.0,10674.0,10018.0,4202.0,4118.0,4349.0,4887.0,6241.0,4485.0,4651.0,4825.0
1381300000,Quezon City,City,HUC,Special,National Capital Region (NCR),National Capital Region (NCR),397990.0,754452.0,1165865.0,1669776.0,2173831.0,2761720.0,2936116.0,2960048.0,3084270.0,55202.6,4.38,,47990.0,48468.0,44445.0,35045.0,33630.0,34784.0,32578.0,16385.0,16724.0,17320.0,18455.0,23480.0,17253.0,18158.0,18393.0
1381400000,City of San Juan,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),56861.0,104559.0,130088.0,126854.0,117680.0,121430.0,122180.0,126347.0,134312.0,6565.9,12.09,,1571.0,1715.0,1519.0,1146.0,1142.0,1260.0,1232.0,792.0,750.0,784.0,928.0,1114.0,819.0,796.0,861.0
1381500000,City of Taguig,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),21856.0,55257.0,134137.0,266637.0,467375.0,644473.0,804915.0,886722.0,,,,EXCLUDED: EMBO barangays received from Makati (2020 base not comparable),14227.0,15037.0,13894.0,12067.0,11551.0,12921.0,14198.0,3735.0,3836.0,4096.0,4349.0,5522.0,4169.0,4525.0,5986.0
1381600000,City of Valenzuela,City,HUC,1st,National Capital Region (NCR),National Capital Region (NCR),41473.0,98456.0,212363.0,340227.0,485433.0,575356.0,620422.0,714978.0,725173.0,-7522.5,-2.51,,10695.0,11291.0,10584.0,8508.0,8515.0,8489.0,7698.0,3712.0,3677.0,3941.0,4321.0,5470.0,3979.0,4265.0,4225.0
1381701000,Pateros,Mun,,1st,National Capital Region (NCR),National Capital Region (NCR),13173.0,25468.0,40288.0,51409.0,57407.0,64147.0,63840.0,65227.0,67319.0,1028.3,3.72,,861.0,896.0,870.0,714.0,692.0,688.0,728.0,404.0,397.0,406.0,457.0,586.0,436.0,429.0,438.0
1400101000,Bangued ,Mun,,1st,Abra,Cordillera Administrative Region (CAR),19368.0,24587.0,28666.0,34184.0,38965.0,43936.0,48163.0,50382.0,48331.0,-2735.2,-13.3,,739.0,705.0,619.0,502.0,573.0,533.0,552.0,333.0,331.0,364.0,344.0,460.0,343.0,384.0,393.0
1400102000,Boliney,Mun,,5th,Abra,Cordillera Administrative Region (CAR),2326.0,3175.0,3060.0,3773.0,3340.0,4063.0,3573.0,4551.0,3778.0,-858.1,-49.45,,49.0,51.0,44.0,33.0,51.0,40.0,50.0,12.0,7.0,18.0,22.0,30.0,25.0,14.0,19.0
1400103000,Bucay,Mun,,5th,Abra,Cordillera Administrative Region (CAR),7473.0,9937.0,12375.0,13346.0,14881.0,17126.0,17115.0,17953.0,17775.0,-395.7,-5.32,,210.0,226.0,212.0,176.0,180.0,229.0,184.0,100.0,126.0,135.0,136.0,176.0,120.0,148.0,132.0
1400104000,Bucloc,Mun,,6th,Abra,Cordillera Administrative Region (CAR),1152.0,1401.0,1605.0,1932.0,2109.0,2176.0,2501.0,2395.0,2264.0,-148.1,-15.26,,26.0,25.0,16.0,29.0,24.0,22.0,23.0,19.0,18.0,22.0,24.0,20.0,21.0,13.0,20.0
1400105000,Daguioman,Mun,,5th,Abra,Cordillera Administrative Region (CAR),1003.0,1050.0,1254.0,1413.0,1748.0,1715.0,2088.0,2019.0,1773.0,-246.5,-31.2,,18.0,22.0,16.0,11.0,13.0,17.0,17.0,12.0,13.0,14.0,10.0,17.0,15.0,13.0,16.0
1400106000,Danglas,Mun,,5th,Abra,Cordillera Administrative Region (CAR),2475.0,2508.0,2657.0,3042.0,4144.0,4734.0,4192.0,4074.0,4372.0,245.2,13.93,,67.0,47.0,50.0,42.0,34.0,56.0,54.0,41.0,32.0,29.0,33.0,39.0,35.0,26.0,35.0
1400107000,Dolores,Mun,,5th,Abra,Cordillera Administrative Region (CAR),5065.0,6751.0,7615.0,8577.0,9949.0,11499.0,11315.0,11512.0,11967.0,318.3,6.51,,182.0,179.0,147.0,120.0,132.0,155.0,133.0,78.0,89.0,94.0,95.0,118.0,102.0,100.0,103.0
1400108000,La Paz,Mun,,5th,Abra,Cordillera Administrative Region (CAR),6808.0,8527.0,9205.0,11240.0,12922.0,14882.0,15437.0,16493.0,16014.0,-699.4,-10.33,,181.0,217.0,190.0,152.0,164.0,219.0,154.0,105.0,110.0,139.0,105.0,131.0,128.0,112.0,155.0
1400109000,Lacub,Mun,,5th,Abra,Cordillera Administrative Region (CAR),1424.0,1706.0,2038.0,2326.0,2782.0,2977.0,3403.0,3612.0,3649.0,-77.8,-5.14,,40.0,58.0,43.0,41.0,54.0,27.0,48.0,18.0,13.0,19.0,11.0,21.0,15.0,10.0,13.0
1400110000,Lagangilang,Mun,,5th,Abra,Cordillera Administrative Region (CAR),6762.0,8905.0,9466.0,11248.0,12073.0,13824.0,14255.0,14914.0,14577.0,-491.2,-7.99,,240.0,221.0,155.0,141.0,162.0,181.0,136.0,86.0,111.0,85.0,103.0,140.0,113.0,124.0,111.0
1400111000,Lagayan,Mun,,5th,Abra,Cordillera Administrative Region (CAR),2750.0,3182.0,3827.0,3771.0,3894.0,4477.0,4499.0,4488.0,5154.0,628.3,31.28,,38.0,62.0,48.0,39.0,63.0,52.0,60.0,29.0,21.0,28.0,29.0,53.0,38.0,47.0,42.0
1400112000,Langiden,Mun,,5th,Abra,Cordillera Administrative Region (CAR),1743.0,2558.0,2256.0,2452.0,2998.0,3170.0,3198.0,3576.0,3457.0,-189.0,-12.9,,43.0,54.0,38.0,31.0,39.0,34.0,50.0,23.0,29.0,24.0,17.0,26.0,24.0,12.0,22.0
1400113000,Licuan-Baay,Mun,,5th,Abra,Cordillera Administrative Region (CAR),2066.0,2821.0,3094.0,3697.0,3812.0,4864.0,4689.0,4566.0,4301.0,-336.5,-18.22,,36.0,52.0,49.0,38.0,48.0,54.0,45.0,23.0,30.0,32.0,22.0,45.0,27.0,21.0,32.0
1400114000,Luba,Mun,,5th,Abra,Cordillera Administrative Region (CAR),3710.0,5666.0,4911.0,5563.0,6203.0,6391.0,6339.0,6518.0,6402.0,-149.9,-5.57,,80.0,88.0,69.0,62.0,55.0,75.0,53.0,46.0,41.0,51.0,43.0,66.0,54.0,52.0,60.0
1400115000,Malibcong,Mun,,5th,Abra,Cordillera Administrative Region (CAR),2163.0,3158.0,3108.0,3494.0,3806.0,3807.0,3428.0,4027.0,4167.0,111.5,6.53,,36.0,51.0,32.0,27.0,38.0,30.0,43.0,16.0,22.0,27.0,26.0,28.0,23.0,29.0,24.0
